2025-06-04 16:07:14,704 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=8}

2025-06-04 17:11:14,730 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=11}

2025-06-04 17:24:19,631 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=13}

2025-06-04 18:06:23,049 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=3}

2025-06-04 18:38:57,862 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=4}

2025-06-04 21:06:27,929 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=8}

2025-06-04 22:07:38,526 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=11}

2025-06-04 22:08:26,660 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=0}

2025-06-04 23:13:27,939 INFO [PUSH] Task merge for Service{namespace='seata', group='SEATA_GROUP', name='seata-server', ephemeral=true, revision=14}

